brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
ferrari,Ferrari Portofino,blue,02/2020,2020,239800,441.0,600.0,Automatic,Petrol,5.1,119 g/km,7150.0,***Ferrari Frankfurt***
audi,Audi RS6,grey,07/2020,2020,132950,441.0,600.0,Automatic,Petrol,12.8,290 g/km,17650.0,Avant 280 KM H HD-MATRIX 22 B&O PANO LUFT VIRTUAL
ferrari,Ferrari Roma,blue,11/2022,2022,285900,456.0,620.0,Automatic,Petrol,10.3,234 g/km,90.0,| full carbon / ADAS / Style Seats / LEDS
ferrari,Ferrari 488,silver,08/2019,2019,499990,530.0,721.0,Automatic,Petrol,12.3,282 g/km,4500.0,Full Carbon + PPF + Lift + Race seats
land-rover,Land Rover Range Rover,black,03/2019,2019,109840,386.0,525.0,Automatic,Petrol,12.8,291 g/km,56100.0,Autobiography lang TV Business Class
jaguar,Jaguar F-Type,green,05/2023,2023,125890,423.0,575.0,Automatic,Petrol,11.1,259 g/km,8.0,P575 R Coupe AWD KAMERA NAVI LED PANO
land-rover,Land Rover Defender,black,01/2022,2022,239000,386.0,525.0,Automatic,Petrol,12.8,290 g/km,1900.0,90 V8 007 James Bond EDITION !!Rarität
ferrari,Ferrari 599,black,03/2010,2010,144900,456.0,620.0,Semi-automatic,Petrol,21.3,490 g/km,44900.0,Fiorano|Keramik|Scuderia|RacingSeats|19%
bentley,Bentley Continental GTC,blue,03/2019,2019,212950,467.0,635.0,Automatic,Petrol,5.1,119 g/km,60000.0,W12 First Edition-Mulliner-NAIM
ferrari,Ferrari 812,black,06/2018,2018,339000,588.0,799.0,Automatic,Petrol,14.9,340 g/km,18063.0,Superfast *Lift*Alcantara*HiFi Premium*AFS*
bentley,Bentley Bentayga,black,01/2018,2018,139999,320.0,435.0,Automatic,Diesel,7.9,210 g/km,108000.0,4.0 V8 Diesel 4WD Autom. Exclusive
bmw,BMW M3,grey,03/2023,2023,110000,375.0,510.0,Automatic,Petrol,5.1,119 g/km,1.0,Competition Touring M xDrive
audi,Audi SQ8,grey,03/2023,2023,109990,373.0,507.0,Automatic,Petrol,12.1,277 g/km,6100.0,4.0 TFSI Standheizung 22 Zoll B&O Matrix-HD
bmw,BMW M4,black,05/2023,2023,122160,375.0,510.0,Automatic,Petrol,8.8,199 g/km,15.0,Competition Cabrio mit M
audi,Audi S6,blue,03/2023,2023,109490,253.0,344.0,Automatic,Diesel,6.4,170 g/km,10000.0,Avant 3.0 TDI quattro ACC LED Pano Leder Navi h...
ferrari,Ferrari 456,blue,05/1997,1997,125000,325.0,442.0,Manual,Petrol,5.1,119 g/km,21000.0,"GT, 1. Hand, Handschalter, inkl. Kofferset"
lamborghini,Lamborghini Urus,red,12/2022,2022,356405,478.0,650.0,Automatic,Petrol,12.7,325 g/km,55.0,"4.0 V8 RED/RED-BLACK  B&O PANO 23"""
aston-martin,Aston Martin DBX,red,04/2021,2021,158941,405.0,551.0,Automatic,Petrol,14.3,323 g/km,26000.0,4.0 V8*Sportexhaust*Scorpus Red*Amazing*
lamborghini,Lamborghini Huracan,grey,07/2022,2022,399640,478.0,650.0,Automatic,Petrol,5.1,119 g/km,7000.0,STO AdPersonam | Lamborghini Nürnberg
bentley,Bentley Continental GT,grey,11/2022,2022,279900,405.0,551.0,Automatic,Petrol,12.5,263 g/km,40.0,Coupe V8*Mtl. Rate 2850 Euro²
maserati,Maserati Levante,grey,10/2021,2021,149900,427.0,581.0,Automatic,Petrol,16.6,362 g/km,9200.0,Trofeo Q4 FUORISERIE
audi,Audi R8,grey,08/2019,2019,143800,456.0,620.0,Automatic,Petrol,13.1,297 g/km,41500.0,Coupe 5.2 FSI V10 quattro performance
bmw,BMW M8,black,07/2021,2021,126475,460.0,625.0,Automatic,Petrol,11.3,260 g/km,27100.0,Competition Gran Coupe UPE: 187.120€
audi,Audi A1,red,03/2023,2023,142890,81.0,110.0,Manual,Petrol,5.4,123 g/km,5000.0,Sportback 30TFSI Advanced LED SHZ PDC hinten
bentley,Bentley Flying Spur,white,05/2022,2022,261562,400.0,544.0,Automatic,Hybrid,3.2,73 g/km,10500.0,FLYING SPUR HYBRID +ODYSSEAN EDITION+
lamborghini,Lamborghini Urus,grey,06/2022,2022,333800,478.0,650.0,Automatic,Petrol,12.7,325 g/km,6300.0,"Lamborghini URUS/PAN0R/23""/CARBON/B&O/VOLL/SOFORT/"
land-rover,Land Rover Defender,black,06/2023,2023,118405,294.0,400.0,Automatic,Petrol,11.2,280 g/km,25.0,110 P 400 X*MY23*Black/Tan*BlackPack!*
aston-martin,Aston Martin Vanquish,silver,08/2013,2013,124800,421.0,572.0,Automatic,Petrol,14.4,335 g/km,52000.0,Coupé
jaguar,Jaguar F-Pace,black,06/2023,2023,124960,405.0,551.0,Automatic,Petrol,11.4,260 g/km,3980.0,SVR EDITION 1988 ONE OF 394+PANO+ACC+HUD
lamborghini,Lamborghini Aventador,green,07/2020,2020,709900,566.0,770.0,Automatic,Petrol,18.0,452 g/km,292.0,SVJ
ferrari,Ferrari Portofino,beige,08/2018,2018,224800,441.0,600.0,Automatic,Petrol,10.7,119 g/km,13000.0,***Ferrari Frankfurt***
maserati,Maserati Quattroporte,white,07/2021,2021,129850,427.0,581.0,Automatic,Petrol,12.1,275 g/km,3800.0,V8 Trofeo*Leder-CUOIO*Carbon*B&W*SD
bmw,BMW Z8,silver,01/2001,2001,259900,294.0,400.0,Manual,Petrol,14.5,349 g/km,16800.0,Roadster*Deutsch*2Hand*Neuwertig
land-rover,Land Rover Range Rover,black,03/2023,2023,214900,257.0,349.0,Automatic,Diesel,12.0,340 g/km,100.0,D350 Autobiography
ferrari,Ferrari F430,grey,01/2006,2006,132890,360.0,489.0,Automatic,Petrol,18.3,420 g/km,26500.0,Spider F1 *Ferrari-Dresden*
ferrari,Ferrari 812,grey,05/2022,2022,524900,585.0,795.0,Automatic,Petrol,16.4,373 g/km,790.0,GTS*1. Hd*dt. Auto*JBL*Surround*ADAS
bmw,BMW M8,black,03/2021,2021,115999,460.0,625.0,Automatic,Petrol,5.1,260 g/km,24950.0,Competition xD GC B&W 360° Laser HUD  Voll
lamborghini,Lamborghini Aventador,yellow,11/2017,2017,509750,551.0,749.0,Automatic,Petrol,5.1,119 g/km,7700.0,SV Roadster LP 750-4
audi,Audi R8,red,12/2019,2019,159888,456.0,620.0,Automatic,Petrol,5.1,297 g/km,34896.0,5.2 FSI performance S tronic quattro
land-rover,Land Rover Defender,black,10/2022,2022,124950,221.0,300.0,Automatic,Diesel,9.4,246 g/km,1850.0,"130 X D300 Standheizung, 8-Sitze"
lamborghini,Lamborghini Aventador,green,03/2021,2021,599800,566.0,770.0,Automatic,Petrol,17.9,486 g/km,9900.0,SVJ*Dreamcar*Vollausstattung*MWST*Matt
bentley,Bentley Continental GT,blue,07/2022,2022,333188,472.0,642.0,Automatic,Petrol,16.6,396 g/km,1000.0,Speed V12
audi,Audi R8,black,03/2012,2012,104900,412.0,560.0,Automatic,Petrol,5.1,119 g/km,73000.0,GT Spyder 1/333 R8-Sportsitze B&O KD unffr. uvm
lamborghini,Lamborghini Aventador,black,01/2020,2020,359990,544.0,740.0,Automatic,Petrol,18.4,499 g/km,37000.0,S*LP-740*Garantie-Neu*Neuwertig*
audi,Audi RS4,blue,05/2023,2023,127999,331.0,450.0,Automatic,Petrol,10.0,"227,6 g/km",1000.0,Avant TFSI quattro SHZ LEDER HUD NAVI B&O
audi,Audi RS7,blue,04/2023,2023,159890,441.0,600.0,Automatic,Petrol,11.6,265 g/km,9999.0,Sportback 4.0 TFSI quattro Navi Pano Matrix
bentley,Bentley Bentayga,blue,10/2019,2019,148888,330.0,449.0,Automatic,Hybrid,3.6,82 g/km,65500.0,Hybrid 4-SEATER / MULLINER / NAIM / FULL
land-rover,Land Rover Defender,black,04/2023,2023,107830,221.0,300.0,Automatic,Diesel,7.8,204 g/km,50.0,110 3.0 D300 MHEV X AHK STHZ
aston-martin,Aston Martin DBS,black,08/2021,2021,319000,533.0,725.0,Automatic,Petrol,12.4,285 g/km,6400.0,Superleggera Coupé
bmw,BMW M5,grey,05/2021,2021,139000,460.0,625.0,Automatic,Petrol,5.1,119 g/km,30000.0,"Competition,unfalfrei, maxoption, bruuto preis"
ferrari,Ferrari 812,black,05/2022,2022,519900,588.0,799.0,Automatic,Petrol,14.9,373 g/km,296.0,812 GTS RacingSeats/Liftsystem/Carbon-LED/360Kam
lamborghini,Lamborghini Huracan,grey,07/2019,2019,299900,470.0,639.0,Automatic,Petrol,13.9,335 g/km,14990.0,"EVO AWD Coupé, Scheckheft, 2. Hand"
maserati,Maserati Levante,grey,08/2022,2022,106000,316.0,430.0,Automatic,Petrol,11.4,288 g/km,15062.0,Modena S MY22 430HP AWD
lamborghini,Lamborghini Urus,black,10/2021,2021,550000,580.0,789.0,Automatic,Petrol,12.7,325 g/km,2612.0,Novitec Esteso Edition Carbon 24 Zoll Voll
audi,Audi R8,blue,03/2018,2018,125900,397.0,540.0,Automatic,Petrol,12.8,303 g/km,29423.0,Spyder 5.2 FSI quattro S-tronic Audi exclusive Mat
ferrari,Ferrari F8 Spider,black,02/2022,2022,359900,530.0,721.0,Automatic,Petrol,12.4,292 g/km,6990.0,"Lift, Carbon, AFS, DE-Auto"
jaguar,Jaguar F-Type,grey,11/2022,2022,114750,423.0,575.0,Automatic,Petrol,10.7,243 g/km,2500.0,Coupe R
dodge,Dodge Challenger,red,12/2022,2022,105000,535.0,727.0,Automatic,LPG,16.5,388 g/km,10.0,"Hellcat 6.2l,Widebody,ACC,LPG"
lamborghini,Lamborghini Urus,grey,12/2019,2019,264900,478.0,650.0,Automatic,Petrol,12.3,325 g/km,55448.0,GARANTIE STANDHZG MASSAGE HUD B&O SOFT PANO
bmw,BMW Z8,silver,01/2001,2001,179980,294.0,400.0,Manual,Petrol,14.9,358 g/km,151093.0,Roadster 5.0* 2.Hand Leder Navi Xenon Tempom.
land-rover,Land Rover Range Rover,black,03/2023,2023,198364,375.0,510.0,Automatic,Hybrid,0.9,21 g/km,4950.0,"P510e Hybrid* First Edition* 22"" AHK"
aston-martin,Aston Martin DB11,silver,11/2022,2022,238000,375.0,510.0,Automatic,Petrol,9.9,230 g/km,1000.0,V8 Volante
maserati,Maserati GranTurismo,white,08/2020,2020,145899,338.0,460.0,Automatic,Petrol,14.3,313 g/km,1977.0,Sport 4.7l V8 Nerissimo-Paket NEUWERTIG
ferrari,Ferrari SF90 Stradale,black,06/2022,2022,469900,735.0,999.0,Automatic,Hybrid,7.4,204 g/km,4680.0,Daytona Racing Seats JBL Lift
ferrari,Ferrari Roma,grey,09/2021,2021,259000,456.0,620.0,Automatic,Petrol,5.1,119 g/km,2500.0,Magneride+ADAS-Paket+Beif-Display
lamborghini,Lamborghini Urus,blue,06/2018,2018,249900,478.0,650.0,Automatic,Petrol,12.3,290 g/km,33140.0,"Blu Astraeus, Bang & Olufsen, Full ADAS"
aston-martin,Aston Martin Vantage,blue,11/2012,2012,139900,380.0,517.0,Manual,Petrol,16.4,388 g/km,39000.0,6.0 V12*Sonderlack und -Polster*MwSt
bentley,Bentley Bentayga,silver,03/2022,2022,249781,404.0,549.0,Automatic,Petrol,12.0,272 g/km,75.0,V8*Touring+Blackline*Naim*TV*Carbon*!
lamborghini,Lamborghini Urus,black,07/2019,2019,299890,478.0,650.0,Automatic,Petrol,12.7,325 g/km,42500.0,*Black*
dodge,Dodge Challenger,blue,12/2022,2022,106890,535.0,727.0,Automatic,Petrol,14.7,392 g/km,34.0,SRT Hellcat Widebody
ferrari,Ferrari Roma,silver,09/2020,2020,229000,456.0,620.0,Automatic,Petrol,11.0,255 g/km,21600.0,*Pano*360°Cam*Lift-System*JBL-HiFi*ADAS
audi,Audi RS6,black,04/2023,2023,158890,441.0,600.0,Automatic,Petrol,12.6,289 g/km,999.0,Avant Dyn+/HuD/Laser/Pano/B&Oadv/Assist/StHz/RS-Ag
land-rover,Land Rover Defender,silver,03/2023,2023,129800,386.0,525.0,Automatic,Petrol,12.8,290 g/km,7000.0,"110 5.0 P525 V8*HEAD-UP*BLACK PACK*22"""
lamborghini,Lamborghini Gallardo,grey,09/2011,2011,137900,412.0,560.0,Automatic,Petrol,14.7,351 g/km,43500.0,LP560-4 Bicolore*LIFT*CAM*MIETKAUF
lamborghini,Lamborghini Urus,orange,05/2023,2023,415900,490.0,666.0,Automatic,Petrol,12.3,325 g/km,78.0,S BIG Carbon Int Exterior 4Seat B&O PANO
lamborghini,Lamborghini Aventador,yellow,07/2019,2019,679900,566.0,770.0,Automatic,Petrol,19.6,452 g/km,2850.0,SVJ Coupe LP770-4
audi,Audi R8,blue,07/2015,2015,117899,449.0,610.0,Automatic,Petrol,12.3,292 g/km,68000.0,5.2 PLUS QUATTRO *KERAMiK*CARBON*CAPRiSTO*
bentley,Bentley Continental GT,white,08/2019,2019,237700,467.0,635.0,Automatic,Petrol,14.2,330 g/km,10048.0,Continental NEW GT 1st Edition TOURING MULLINER
land-rover,Land Rover Range Rover Sport,grey,10/2022,2022,143900,294.0,400.0,Automatic,Hybrid,0.9,227 g/km,4900.0,P440e Hybrid Dynamic HSE
audi,Audi SQ8,white,11/2019,2019,109990,320.0,435.0,Automatic,Diesel,7.8,204 g/km,48900.0,4.0 TDI*HD-Matrix*23´´*Pano*360°*KeyGo*B&O
ferrari,Ferrari California,grey,06/2015,2015,139400,570.0,775.0,Unknown,Petrol,5.1,119 g/km,49570.0,California T Apple car Sound  Tolle Farbkomb
bentley,Bentley Continental,blue,09/2021,2021,264811,405.0,551.0,Automatic,Petrol,11.7,266 g/km,3990.0,GTC V8 *Mulliner*NAIM*
audi,Audi A8,black,01/2016,2016,169950,368.0,500.0,Automatic,Petrol,11.0,254 g/km,81612.0,6.3 W12 Security Werks Panzer Armored VR7/VR9
ferrari,Ferrari 488,black,08/2021,2021,749900,530.0,721.0,Semi-automatic,Petrol,12.8,289 g/km,168.0,Spider NEU: FLXBL Leasing
aston-martin,Aston Martin Vanquish,black,02/2014,2014,149899,421.0,572.0,Automatic,Petrol,14.4,335 g/km,12000.0,Coupe
maserati,Maserati Levante,yellow,02/2020,2020,141444,427.0,581.0,Automatic,Petrol,13.3,302 g/km,12000.0,Trofeo*Launch Edition 1 of 100*
bmw,BMW iX,red,08/2021,2021,117950,385.0,523.0,Automatic,Electric,0.0,0,2000.0,50 xDrive Sportpaket BMW Live Cockpit Prof.
bmw,BMW M4,red,08/2022,2022,106770,375.0,510.0,Unknown,Petrol,5.1,119 g/km,12727.0,Competition Coupe |M-PERFORMANCE|CARBON|VOLL|
land-rover,Land Rover Range Rover,grey,11/2020,2020,106000,221.0,300.0,Automatic,Diesel,7.9,205 g/km,57900.0,D300 Westminster Black / 22 Zoll / Standheizung /
bentley,Bentley Continental GTC,blue,07/2020,2020,282900,467.0,635.0,Automatic,Petrol,5.1,119 g/km,5300.0,GTC V12/Voll!1.Hd.Dt./Bildschön!Neuwertig!
lamborghini,Lamborghini Urus,yellow,12/2019,2019,278800,478.0,650.0,Automatic,Petrol,5.1,119 g/km,25500.0,/ FOND ENTERTAINMENT / AKRAPOVIC / B&O / 23
lamborghini,Lamborghini Huracan,silver,04/2016,2016,166990,426.0,579.0,Manual,Petrol,5.1,119 g/km,86000.0,Carbon Lift Rückfahrkamera Tempomat Vollfoliert
audi,Audi RS6,green,06/2023,2023,169750,441.0,600.0,Automatic,Petrol,13.0,295 g/km,1100.0,tiptronic+MATRIX+STDHZ+RS-DYNAMIC-P
bentley,Bentley Continental GT,black,10/2022,2022,244800,404.0,549.0,Automatic,Petrol,11.3,263 g/km,7497.0,V8 MULLINER/ROTATING/TOURING-SPEC
bentley,Bentley Bentayga,green,05/2022,2022,265900,405.0,551.0,Automatic,Petrol,11.6,260 g/km,2000.0,4.0 V8*Pano*22*360°*Headup
ferrari,Ferrari Roma,blue,08/2022,2022,277500,456.0,620.0,Automatic,Petrol,10.3,234 g/km,600.0,***Ferrari Frankfurt***
maserati,Maserati GranTurismo,black,07/2019,2019,128888,338.0,460.0,Automatic,Petrol,14.3,313 g/km,9364.0,Sport
lamborghini,Lamborghini Urus,black,07/2020,2020,314900,478.0,650.0,Automatic,Petrol,12.7,290 g/km,28649.0,Carbon Paket
land-rover,Land Rover Range Rover,grey,12/2021,2021,159990,258.0,351.0,Automatic,Diesel,5.1,119 g/km,20000.0,D350 SE *1.H *22 *ACC *Pano *AHK *
lamborghini,Lamborghini Aventador,grey,07/2021,2021,666000,566.0,770.0,Automatic,Petrol,5.1,119 g/km,9153.0,SVJ Roadster 1of800
audi,Audi RS6,grey,02/2023,2023,135900,441.0,600.0,Automatic,Petrol,11.5,263 g/km,2654.0,4.0 TFSI 280kmh STANDHZG B&O PANO 360 eAHK
bmw,BMW M8,blue,12/2020,2020,118490,460.0,625.0,Automatic,Petrol,11.4,262 g/km,64650.0,Competition xDrive Cabrio NIGHT VISION.LASER
aston-martin,Aston Martin DBX,black,09/2022,2022,254707,520.0,707.0,Automatic,Petrol,13.5,323 g/km,8900.0,"707/Carbon/Sitzbelüft/23"" Zoll/AM Memmingen"
audi,Audi e-tron,white,05/2022,2022,145485,300.0,408.0,Automatic,Electric,0.0,369 km Reichweite,8050.0,55 Q S line Luft Technology Sel
aston-martin,Aston Martin V8,grey,10/2021,2021,139007,375.0,510.0,Automatic,Petrol,10.3,236 g/km,33500.0,V8 4.0/Aston Martin Memmingen
bentley,Bentley Bentayga,white,09/2022,2022,249900,405.0,551.0,Automatic,Petrol,13.0,119 g/km,14900.0,4.0 V8
lamborghini,Lamborghini Huracan,grey,07/2021,2021,389000,471.0,640.0,Automatic,Petrol,13.9,119 g/km,6907.0,HURACAN STO*LIFT*KAMERA*CARBON TITANIUM*MATT
bentley,Bentley Continental,green,05/2015,2015,182999,426.0,579.0,Automatic,Petrol,5.1,119 g/km,13500.0,GT 3-R Limited Edition 1 of 300 Cars
bentley,Bentley Continental GTC,white,11/2016,2016,144999,373.0,507.0,Automatic,Petrol,5.1,119 g/km,59000.0,V8*MULLINER*FACELIFT*SHZ*SITZBEL
lamborghini,Lamborghini Urus,black,02/2022,2022,311990,478.0,650.0,Automatic,Petrol,12.7,119 g/km,28000.0,"4.0 V8 *Pano *23"" *Carbon *3D B&O *360°"
land-rover,Land Rover Defender,grey,05/2023,2023,133525,386.0,525.0,Automatic,Petrol,15.1,340 g/km,2900.0,110 5.0 P525 V8 -Carpathian EDITION-  LED/NSW
lamborghini,Lamborghini Aventador,green,11/2019,2019,649800,566.0,770.0,Automatic,Petrol,17.9,486 g/km,1690.0,SVJ *Unikat*Neuwertig*TOP*
bmw,BMW Z8,silver,08/2000,2000,247000,294.0,400.0,Manual,Petrol,5.1,119 g/km,23089.0,4.9 *23TKM*BRD-FZG*2.HAND*LEDER SCHWARZ*
land-rover,Land Rover Range Rover,black,02/2023,2023,229490,390.0,530.0,Automatic,Petrol,5.1,119 g/km,7500.0,P530 Autobiography
bentley,Bentley Flying Spur,black,04/2022,2022,205622,306.0,416.0,Automatic,Hybrid,3.2,0,923.0,New Flying Spur Hybrid Mulliner
audi,Audi A6,blue,12/2018,2018,129940,200.0,272.0,Automatic,Diesel,5.3,138 g/km,106906.0,3.0TDI qu. AIR|Bose|AHK|Pano|HuD|Matrix
ferrari,Ferrari Portofino,blue,01/2020,2020,229800,441.0,600.0,Automatic,Petrol,5.1,119 g/km,18100.0,***Ferrari Frankfurt***
land-rover,Land Rover Defender,grey,01/2023,2023,144444,386.0,525.0,Automatic,Petrol,5.1,119 g/km,5000.0,110 V8 Carpathian Edition
ferrari,Ferrari 488,red,08/2018,2018,279900,493.0,670.0,Semi-automatic,Petrol,5.1,119 g/km,3800.0,Spider Ferrari Singen
lamborghini,Lamborghini Huracan,black,04/2015,2015,189000,449.0,610.0,Automatic,Petrol,12.5,290 g/km,59000.0,LP 610-4
audi,Audi RS6,grey,01/2022,2022,142985,441.0,600.0,Automatic,Petrol,11.5,263 g/km,26800.0,RS6 Avant HD-MATRIX*PANO*RS-AGA*RS-DYNAMIK*305KM
bmw,BMW X6 M,blue,09/2022,2022,137499,460.0,625.0,Automatic,Petrol,13.1,301 g/km,5123.0,Competition+M-DRIVER+LASER+PANO+B&W+QI+AHK
bentley,Bentley Flying Spur,black,07/2008,2008,260491,412.0,560.0,Automatic,Petrol,5.1,119 g/km,33000.0,Flying SpurAWD+1HD+33Tkm+ARMORED/GEPANZERT B6/B7
ferrari,Ferrari 812,black,09/2018,2018,309800,588.0,799.0,Automatic,Petrol,5.1,119 g/km,44326.0,Superfast Ferrari Berlin
lamborghini,Lamborghini Urus,black,04/2022,2022,359900,478.0,650.0,Automatic,Petrol,12.7,292 g/km,1250.0,URUS BLACK MAGNO STOCK FULL OPTIONS CARBON MY22
lamborghini,Lamborghini Urus,red,10/2021,2021,398948,478.0,650.0,Automatic,Petrol,12.7,325 g/km,12000.0,URUS *ROT-CARBON*Akrapovic*4-S*100% Exclusive*
audi,Audi e-tron GT,white,02/2022,2022,117884,440.0,598.0,Automatic,Electric,0.0,0,14500.0,"RS Sitzbel,HUD,Leder,Matrix Nachtradar"
ferrari,Ferrari Portofino,red,05/2021,2021,287880,456.0,620.0,Automatic,Petrol,5.1,119 g/km,21501.0,M Carbon Fibre Passenger Display
dodge,Dodge Charger,black,05/2023,2023,109900,535.0,727.0,Automatic,Petrol,14.7,395 g/km,100.0,SRT V8 Hellcat Widebody
ferrari,Ferrari California,white,09/2010,2010,114500,338.0,460.0,Automatic,Petrol,5.1,119 g/km,39900.0,F1
maserati,Maserati Levante,grey,09/2021,2021,109777,316.0,430.0,Automatic,Petrol,11.4,258 g/km,35.0,SQ4 GranSport *Tageszulassung*
bmw,BMW M4,yellow,03/2023,2023,106890,375.0,510.0,Automatic,Petrol,10.2,233 g/km,5999.0,Cabrio Competition M xDrive M  Performance Parts U
land-rover,Land Rover Defender,green,03/2023,2023,109860,221.0,300.0,Automatic,Diesel,5.1,239 g/km,9860.0,90 D300 75 LIMITED ED+AHZV+HUD+ACC+3DS
jaguar,Jaguar F-Type,black,01/2023,2023,114770,423.0,575.0,Automatic,Petrol,11.2,256 g/km,770.0,Coupe R P575+BLACK-PACK+PANO+SEIDENMATT+
land-rover,Land Rover Range Rover,grey,04/2021,2021,106799,257.0,349.0,Automatic,Diesel,8.5,225 g/km,55300.0,D350 Autobiography VOLLAUSSTATTUNG AHK 22
lamborghini,Lamborghini Aventador,black,06/2022,2022,819900,574.0,780.0,Automatic,Petrol,16.0,370 g/km,3612.0,Ultimae Roadster 1 of 250/FullCarbon
audi,Audi RS7,grey,02/2023,2023,131992,441.0,600.0,Automatic,Petrol,11.6,265 g/km,3500.0,Sportback 4.0 TFSI quattro PANO LED RFK MMI NAV  C
ferrari,Ferrari 812,red,05/2023,2023,530000,585.0,795.0,Automatic,Petrol,16.4,373 g/km,198.0,GTS Rosso 70 Anni Charcoal Carbon Lift 360°
land-rover,Land Rover Range Rover Sport,grey,04/2020,2020,115930,423.0,575.0,Automatic,Petrol,12.7,290 g/km,18850.0,SVR 5.0-V8 ACC+Pano+Headup+DAB+Karbon
ferrari,Ferrari Portofino,white,04/2019,2019,239000,441.0,600.0,Automatic,Petrol,11.3,256 g/km,42061.0,*Sonderlack*Kamera*HiFi Premium*
maserati,Maserati Ghibli,black,04/2021,2021,114444,427.0,581.0,Automatic,Petrol,12.2,278 g/km,7277.0,Trofeo *581 PS* // *Sonderleasing*
land-rover,Land Rover Range Rover,green,03/2023,2023,222000,257.0,349.0,Automatic,Diesel,8.3,215 g/km,375.0,D350 AUTOBIOGRAPHY LANG-LWB-7 Sitze-
lamborghini,Lamborghini Huracan,black,10/2022,2022,419900,471.0,640.0,Automatic,Petrol,13.9,331 g/km,670.0,STO LIFT KAMERA
bmw,BMW M8,grey,03/2023,2023,154900,460.0,625.0,Automatic,Petrol,11.5,263 g/km,800.0,Grand Coupe 1.599€ mtl. Rate o. Anzahl.
bmw,BMW M4,yellow,09/2021,2021,109900,375.0,510.0,Automatic,Petrol,10.0,119 g/km,14500.0,Competition M xDrive+Sonderm. Unikat 1/19+
audi,Audi RS Q8,black,05/2023,2023,309950,588.0,799.0,Automatic,Petrol,5.1,119 g/km,2050.0,4.0TFSI quattro ABT Signature Edition No.39
ferrari,Ferrari 575,red,07/2004,2004,125000,379.0,515.0,Unknown,Petrol,5.1,119 g/km,23400.0,M Maranello F1
aston-martin,Aston Martin DB11,black,02/2022,2022,198000,470.0,639.0,Automatic,Petrol,11.4,265 g/km,1050.0,V12 Coupe
lamborghini,Lamborghini Murciélago,orange,06/2007,2007,269000,471.0,640.0,Semi-automatic,Petrol,5.1,119 g/km,25000.0,LP640 2.Hand  25.000 KM Traumzustand
ferrari,Ferrari 488,red,05/2019,2019,338888,493.0,670.0,Automatic,Petrol,11.0,260 g/km,17000.0,Spider / LIFT / KAMERA / KERAMIK
bmw,BMW X6,white,05/2023,2023,119900,280.0,381.0,Automatic,Petrol,5.1,119 g/km,4700.0,Facelift/Pano/M Paket
ferrari,Ferrari 488,grey,04/2018,2018,233900,493.0,670.0,Automatic,Petrol,11.4,260 g/km,36025.0,Coupé DCT
bmw,BMW M4,grey,02/2018,2018,119950,338.0,460.0,Automatic,Petrol,8.3,194 g/km,8.0,CS DER LETZTE NEUWAGEN FÜR SAMMLER
ferrari,Ferrari Roma,green,09/2022,2022,262000,456.0,620.0,Automatic,Petrol,11.1,234 g/km,97.0,3.9 T V8 DCT -VERDE/TERRA - SOFORT -
bentley,Bentley Flying Spur,grey,01/2019,2019,124999,373.0,507.0,Automatic,Petrol,10.9,254 g/km,24499.0,4.0 V8 Autom.*MASSAGE*NAIM-SOUND*
aston-martin,Aston Martin DBX,black,01/2021,2021,162900,405.0,551.0,Automatic,Petrol,5.1,119 g/km,11871.0,V8 Volante TECHNOLOGY+BLACK PACK
audi,Audi RS6,blue,05/2023,2023,140888,441.0,600.0,Automatic,Petrol,11.5,286 g/km,10.0,RS6 Avant DynamikP Laser 22Z Tour Pano Leder HUD
aston-martin,Aston Martin Vantage,green,04/2022,2022,1288000,515.0,700.0,Automatic,Petrol,5.1,119 g/km,1600.0,V12 Speedster
bmw,BMW M8,white,08/2022,2022,128890,460.0,625.0,Automatic,Petrol,5.1,119 g/km,9994.0,Cabrio Competition LED W-LAN ACC LASER HUD
audi,Audi R8,silver,12/2016,2016,113500,397.0,540.0,Automatic,Petrol,12.8,290 g/km,36042.0,Spyder V10 5.2 FSI quattro S tronic
audi,Audi A8,silver,02/2023,2023,109980,210.0,286.0,Automatic,Diesel,7.6,198 g/km,7050.0,50 TDI quattro tiptronic 360° Matrix B&O ACC
ferrari,Ferrari 599,white,07/2007,2007,125000,456.0,620.0,Semi-automatic,Petrol,21.3,490 g/km,49000.0,GTB Fiorano F1
jaguar,Jaguar F-Type,black,03/2023,2023,109440,331.0,450.0,Automatic,Petrol,10.8,247 g/km,3150.0,Cabriolet P450 Aut. R-Dynamic Black
bmw,BMW M8,grey,03/2023,2023,154900,460.0,625.0,Automatic,Petrol,11.5,263 g/km,800.0,Comp xD Grand Coupe 1.599€ mtl. Rate o. Anzah
ferrari,Ferrari 812,blue,12/2020,2020,465000,588.0,799.0,Automatic,Petrol,16.4,340 g/km,15442.0,GTS
lamborghini,Lamborghini Gallardo,yellow,07/2008,2008,108500,382.0,519.0,Semi-automatic,Petrol,17.0,400 g/km,68000.0,Spyder E-Gear Getriebe Kupplung NEU LP520
maserati,Maserati Grecale,grey,10/2022,2022,109480,390.0,530.0,Automatic,Petrol,11.1,254 g/km,9210.0,V6 3.0 Nettuno TROFEO MY23- NEW GRECALE
